raw_department,raw_job_title,pnl_department,mapping_note
HR,HR Manager,HR,
HR,Recruiter,HR,
IT,Business Systems Analyst,IT,
IT,Help Desk Technician,IT,
IT,IT Consultant,IT,
IT,IT Manager,IT,
IT,Systems Administrator,IT,
Install,Contract Installer,Field Service - Install,
Install,HVAC Installer I,Field Service - Install,
Install,HVAC Installer II,Field Service - Install,
Install,Install Manager,Field Service - Install,
Install,Install Mgr,Field Service - Install,
Install,Installer,Field Service - Install,
Install,Lead HVAC Installer,Field Service - Install,
Installation,Apprentice Electrician (Lvl 1),Field Service - Install,Redwood Installation dept: apprentice works install not service
Installation,Contract Installer,Field Service - Install,
Installation,Electrical Installer (Lvl 2),Field Service - Install,
Installation,Install Manager,Field Service - Install,
Installation,Lead Electrical Installer (Lvl 3),Field Service - Install,
Marketing,Digital Marketing Specialist,Marketing,
Marketing,Marketing Coordinator,Marketing,
Marketing,Marketing Director,Marketing,
Marketing,Marketing Manager,Marketing,
Parts & Fleet,Fleet Coordinator,Warehouse & Fleet,
Parts & Fleet,Parts Coordinator,Warehouse & Fleet,
Parts & Fleet,Temp Warehouse Associate,Warehouse & Fleet,
Parts & Fleet,Warehouse Associate,Warehouse & Fleet,
Parts & Fleet,Warehouse Manager,Warehouse & Fleet,
Sales,Comfort Advisor,Sales,
Sales,Home Solutions Consultant,Sales,
Sales,Inside Sales Representative,Sales,
Sales,Sales Consultant,Sales,
Sales,Sales Manager,Sales,
Sales,Senior Comfort Advisor,Sales,
Sales,Senior Sales Consultant,Sales,
Sales,Sr Comfort Advisor,Sales,
Sales,Sr Home Solutions Consultant,Sales,
Service,Contract Electrician,Field Service - Repair & Maintenance,
Service,Contract HVAC Technician,Field Service - Repair & Maintenance,
Service,HVAC Service Tech I,Field Service - Repair & Maintenance,
Service,HVAC Service Tech II,Field Service - Repair & Maintenance,
Service,HVAC Service Tech III,Field Service - Repair & Maintenance,
Service,Service Manager,Field Service - Repair & Maintenance,
Service,Service Supervisor,Field Service - Repair & Maintenance,
Service - HVAC,Contract HVAC Technician,Field Service - Repair & Maintenance,
Service - HVAC,Field Supervisor,Field Service - Repair & Maintenance,
Service - HVAC,Service Manager,Field Service - Repair & Maintenance,
Service - HVAC,Technician,Field Service - Repair & Maintenance,
Service - Plumbing,Contract Electrician,Field Service - Repair & Maintenance,
Service - Plumbing,Field Supervisor,Field Service - Repair & Maintenance,
Service - Plumbing,Service Manager,Field Service - Repair & Maintenance,
Service - Plumbing,Technician,Field Service - Repair & Maintenance,
Warehouse,Fleet Coordinator,Warehouse & Fleet,
Warehouse,Parts Coordinator,Warehouse & Fleet,
Warehouse,Temp Warehouse Associate,Warehouse & Fleet,
Warehouse,Warehouse Associate,Warehouse & Fleet,
Warehouse,Warehouse Manager,Warehouse & Fleet,
