employee_id,opco,pnl_department,raw_department,standardized_role,role_level,role_with_level,role_family,raw_job_title,worker_class,employee_type,work_state,hire_date,tenure_years,fte,scheduled_weekly_hours,pay_basis_resolved,pay_rate,annual_base,hourly_base_rate,overtime_cost,variable_comp_cost,bonus_cost,payroll_tax_cost,benefits_cost,fully_loaded_annual_cost,fully_loaded_hourly_cost,load_factor_applied,data_quality_flag
BAY-10375,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2024-12-11,1.72,1.0,40.0,Hourly,17.35,36088.0,17.35,1443.48,0.0,723.64,3075.52,5063.95,46394.59,22.31,1.2856,clean
BAY-10376,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2021-07-12,5.14,0.6,24.0,Hourly,19.32,24111.36,19.32,964.43,0.0,483.48,2054.84,3038.37,30652.48,24.56,1.2713,clean
BAY-10377,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2021-06-17,5.2,1.0,40.0,Hourly,17.74,36899.2,17.74,1475.93,0.0,739.91,3144.65,5063.95,47323.64,22.75,1.2825,clean
BAY-10378,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2021-03-28,5.43,0.725,29.0,Hourly,20.18,30431.44,20.18,1217.23,0.0,610.22,2593.45,3671.36,38523.7,25.55,1.2659,clean
BAY-10379,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2025-01-01,1.66,1.0,40.0,Hourly,18.3,38064.0,18.3,1522.52,0.0,763.27,3243.92,5063.95,48657.66,23.39,1.2783,clean
BAY-10380,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2024-07-30,2.09,0.6,24.0,Hourly,20.36,25409.28,20.36,1016.34,0.0,509.51,2165.45,3038.37,32138.95,25.75,1.2649,clean
BAY-10381,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2017-04-10,9.39,0.6,24.0,Hourly,20.55,25646.4,20.55,1025.83,0.0,514.27,2185.66,3038.37,32410.53,25.97,1.2637,clean
BAY-10382,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2026-02-20,0.53,1.0,40.0,Hourly,20.95,43576.0,20.95,1742.99,0.0,873.79,3713.67,5063.95,54970.4,26.43,1.2615,clean
BAY-10383,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2024-08-08,2.06,1.0,40.0,Hourly,17.5,36400.0,17.5,1455.96,0.0,729.9,3102.11,5063.95,46751.92,22.48,1.2844,clean
BAY-10384,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2014-01-23,12.6,1.0,40.0,Hourly,17.52,36441.6,17.52,1457.63,0.0,730.73,3105.66,5063.95,46799.57,22.5,1.2842,clean
BAY-10385,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2023-03-16,3.46,1.0,40.0,Hourly,17.88,37190.4,17.88,1487.58,0.0,745.75,3169.47,5063.95,47657.15,22.91,1.2814,clean
BAY-10386,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2024-09-25,1.93,1.0,40.0,Hourly,18.35,38168.0,18.35,1526.68,0.0,765.35,3252.78,5063.95,48776.76,23.45,1.2779,clean
BAY-10387,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2019-06-05,7.24,0.625,25.0,Hourly,19.83,25779.0,19.83,1031.13,0.0,516.92,2196.96,3164.97,32688.98,25.15,1.268,clean
BAY-10388,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2022-05-20,4.28,1.0,40.0,Hourly,18.1,37648.0,18.1,1505.88,0.0,754.92,3208.47,5063.95,48181.22,23.16,1.2798,clean
BAY-10389,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2021-08-13,5.05,0.7,28.0,Hourly,17.77,25873.12,17.77,1034.9,0.0,518.81,2204.98,3544.77,33176.58,22.79,1.2823,clean
BAY-10390,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2026-05-09,0.31,0.625,25.0,Hourly,17.95,23335.0,17.95,933.38,0.0,467.92,1988.67,3164.97,29889.94,22.99,1.2809,clean
BAY-10391,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2025-08-23,1.02,0.7,28.0,Hourly,20.65,30066.4,20.65,1202.62,0.0,602.9,2562.34,3544.77,37979.03,26.08,1.2632,clean
BAY-10392,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2023-11-09,2.81,0.5,20.0,Hourly,17.29,17981.6,17.29,719.24,0.0,360.57,1532.44,2531.98,23125.83,22.24,1.2861,clean
BAY-10393,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2025-06-02,1.25,0.725,29.0,Hourly,19.01,28667.08,19.01,1146.65,0.0,574.84,2443.09,3671.36,36503.02,24.21,1.2733,clean
BAY-10394,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2021-03-22,5.44,0.725,29.0,Hourly,20.72,31245.76,20.72,1249.8,0.0,626.55,2662.85,3671.36,39456.32,26.16,1.2628,clean
BAY-10395,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2021-12-22,4.69,1.0,40.0,Hourly,16.59,34507.2,16.59,1380.25,0.0,691.94,2940.8,5063.95,44584.14,21.43,1.292,clean
BAY-10396,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2023-05-01,3.33,1.0,40.0,Hourly,18.12,37689.6,18.12,1507.54,0.0,755.76,3212.01,5063.95,48228.86,23.19,1.2796,clean
BAY-10397,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2017-12-02,8.74,1.0,40.0,Hourly,16.7,34736.0,16.7,1389.4,0.0,696.53,2960.3,5063.95,44846.18,21.56,1.2911,clean
BAY-10398,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2022-07-15,4.13,1.0,40.0,Hourly,20.8,43264.0,20.8,1730.51,0.0,867.54,3687.08,5063.95,54613.08,26.26,1.2623,clean
BAY-10399,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2025-02-03,1.57,1.0,40.0,Hourly,16.84,35027.2,16.84,1401.05,0.0,702.37,2985.12,5063.95,45179.69,21.72,1.2898,clean
BAY-10400,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2021-04-09,5.39,1.0,40.0,Hourly,17.98,37398.4,17.98,1495.9,0.0,749.92,3187.2,5063.95,47895.37,23.03,1.2807,clean
BAY-10401,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2023-04-19,3.37,0.7,28.0,Hourly,18.49,26921.44,18.49,1076.83,0.0,539.83,2294.32,3544.77,34377.19,23.61,1.2769,clean
BAY-10402,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2014-07-11,12.14,0.625,25.0,Hourly,18.12,23556.0,18.12,942.22,0.0,472.35,2007.51,3164.97,30143.05,23.19,1.2796,clean
BAY-10403,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2019-10-05,6.9,0.725,29.0,Hourly,19.84,29918.72,19.84,1196.72,0.0,599.94,2549.76,3671.36,37936.5,25.16,1.268,clean
BAY-10404,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2026-05-01,0.33,0.7,28.0,Hourly,18.41,26804.96,18.41,1072.17,0.0,537.5,2284.39,3544.77,34243.79,23.52,1.2775,clean
BAY-10405,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2025-05-24,1.27,1.0,40.0,Hourly,20.4,42432.0,20.4,1697.24,0.0,850.85,3616.17,5063.95,53660.21,25.8,1.2646,clean
BAY-10406,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2025-10-20,0.86,0.6,24.0,Hourly,17.96,22414.08,17.96,896.54,0.0,449.45,1910.19,3038.37,28708.63,23.0,1.2808,clean
BAY-10407,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2018-04-14,8.38,0.625,25.0,Hourly,18.56,24128.0,18.56,965.09,0.0,483.82,2056.26,3164.97,30798.14,23.69,1.2764,clean
BAY-10408,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2011-06-30,15.17,1.0,40.0,Hourly,19.69,40955.2,19.69,1638.16,0.0,821.24,3490.32,5063.95,51968.87,24.99,1.2689,clean
BAY-10409,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Regular,FL,2019-04-12,7.39,1.0,40.0,Hourly,20.55,42744.0,20.55,1709.71,0.0,857.11,3642.76,5063.95,54017.53,25.97,1.2637,clean
BAY-10410,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2017-10-31,8.83,1.0,40.0,Hourly,20.7,43056.0,20.7,1722.19,0.0,863.37,3669.35,5063.95,54374.86,26.14,1.2629,clean
GLC-10291,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Full-Time,MI,2018-12-15,7.71,0.725,29.0,Hourly,18.82,28380.56,18.82,1135.19,0.0,569.09,2418.67,3671.36,36174.87,23.99,1.2746,clean
GLC-10292,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,,MI,2018-10-06,7.9,1.0,40.0,Hourly,16.36,34028.8,16.36,1361.12,0.0,682.35,2900.03,5063.95,44036.25,21.17,1.2941,clean
GLC-10293,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2025-07-10,1.14,1.0,40.0,Hourly,19.58,40726.4,19.58,1629.01,0.0,816.65,3470.82,5063.95,51706.83,24.86,1.2696,clean
GLC-10294,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Full-Time,MI,2024-04-28,2.34,1.0,40.0,Hourly,17.35,36088.0,17.35,1443.48,0.0,723.64,3075.52,5063.95,46394.59,22.31,1.2856,clean
GLC-10295,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2025-09-02,0.99,0.625,25.0,Hourly,19.49,25337.0,19.49,1013.45,0.0,508.06,2159.29,3164.97,32182.77,24.76,1.2702,clean
GLC-10296,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Full-Time,MI,2025-02-25,1.51,0.625,25.0,Hourly,19.41,25233.0,19.41,1009.29,0.0,505.98,2150.43,3164.97,32063.67,24.66,1.2707,clean
GLC-10297,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2024-06-17,2.2,0.625,25.0,Hourly,16.63,21619.0,16.63,864.74,0.0,433.51,1842.43,3164.97,27924.65,21.48,1.2917,clean
GLC-10298,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2017-06-28,9.17,0.625,25.0,Hourly,16.92,21996.0,16.92,879.82,0.0,441.07,1874.56,3164.97,28356.42,21.81,1.2892,clean
GLC-10299,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,FT,MI,2016-04-09,10.39,0.625,25.0,Hourly,19.62,25506.0,19.62,1020.21,0.0,511.45,2173.69,3164.97,32376.32,24.9,1.2694,clean
GLC-10300,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2026-03-29,0.42,0.6,24.0,Hourly,16.86,21041.28,16.86,841.63,0.0,421.92,1793.2,3038.37,27136.4,21.74,1.2897,clean
GLC-10301,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Regular,MI,2022-09-09,3.98,1.0,40.0,Hourly,19.72,41017.6,19.72,1640.66,0.0,822.49,3495.64,5063.95,52040.34,25.02,1.2687,clean
GLC-10302,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Representative,Employee,Full-Time,MI,2022-03-04,4.49,0.625,25.0,Hourly,16.75,21775.0,16.75,870.98,0.0,436.64,1855.73,3164.97,28103.32,21.62,1.2906,clean
