profile_id,entity_id,entity_name,provider_industry,location,title_raw,standardized_role,role_family,seniority_provider,start_date,profile_last_updated,months_since_update,staleness_cutoff_date,salary_est_base,live_for_headcount,live_for_structure,excluded_reason
700450,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Field Supervisor,Field Supervisor,Field Leadership,Manager,2025-02-04,2025-11-26,9.2,2024-09-01,,True,True,
700312,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Fleet Coordinator,Fleet Coordinator,Warehouse & Fleet,Mid,2021-05-30,2025-01-10,19.7,2024-09-01,,True,True,
700452,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",General Manager,General Manager,Executive & Corporate,Manager,2013-07-19,2024-11-01,22.0,2024-09-01,,True,True,
700455,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",General Manager,General Manager,Executive & Corporate,Manager,2025-10-24,2026-03-24,5.3,2024-09-01,,True,True,
700453,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",General Manager,General Manager,Executive & Corporate,Manager,2024-04-07,2026-06-28,2.1,2024-09-01,,True,True,
700350,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HR Generalist,HR Business Partner,HR,Entry,2025-05-15,2026-06-19,2.4,2024-09-01,60500.0,True,True,
700361,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HR Manager,HR Manager,HR,Manager,2025-09-30,2026-08-16,0.5,2024-09-01,,True,True,
700069,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Mid,2023-09-07,2026-06-24,2.3,2024-09-01,,True,True,
700073,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Entry,2025-01-16,2026-08-20,0.4,2024-09-01,,True,True,
700067,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Entry,2025-07-12,2025-07-17,13.5,2024-09-01,,True,True,
700072,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Mid,2021-12-18,2025-02-09,18.7,2024-09-01,,True,True,
700070,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Entry,2026-02-19,2026-05-19,3.4,2024-09-01,,True,True,
700071,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Installer,HVAC Installer,Field - Install,Mid,2019-04-28,2026-04-27,4.2,2024-09-01,,True,True,
700018,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2025-02-11,2025-08-28,12.1,2024-09-01,58000.0,True,True,
700021,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2026-04-11,2026-07-09,1.8,2024-09-01,,True,True,
700015,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2020-02-03,2025-09-18,11.4,2024-09-01,,True,True,
700013,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2013-04-12,2025-12-31,8.0,2024-09-01,,True,True,
700031,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2025-08-20,2026-07-05,1.9,2024-09-01,,True,True,
700032,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2022-04-01,2024-10-14,22.6,2024-09-01,,True,True,
700016,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2023-11-28,2026-08-11,0.7,2024-09-01,,True,True,
700023,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2020-04-20,2025-08-15,12.5,2024-09-01,,True,True,
700175,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Home Solutions Consultant,Sales Consultant,Sales,Mid,2023-02-21,2026-04-25,4.2,2024-09-01,51000.0,True,True,
700375,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",IT Manager,IT Manager,IT,Manager,2018-09-26,2025-06-26,14.2,2024-09-01,,True,True,
700369,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",IT Support Specialist,Help Desk Technician,IT,Entry,2025-10-26,2026-03-09,5.8,2024-09-01,,True,True,
700364,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",IT Support Specialist,Help Desk Technician,IT,Mid,2022-05-22,2026-03-05,5.9,2024-09-01,,True,True,
700210,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Inside Sales Representative,Inside Sales Representative,Sales,Mid,2017-12-05,2026-07-24,1.3,2024-09-01,,True,True,
700211,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Inside Sales Representative,Inside Sales Representative,Sales,Entry,2024-06-02,2025-02-13,18.6,2024-09-01,,True,True,
700213,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Inside Sales Representative,Inside Sales Representative,Sales,Entry,2026-03-15,2026-06-02,3.0,2024-09-01,,True,True,
700091,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Install Technician,HVAC Installer,Field - Install,Entry,2024-06-23,2025-08-03,12.9,2024-09-01,,True,True,
700119,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Lead Installer,HVAC Installer,Field - Install,Senior,2025-11-03,2026-06-11,2.7,2024-09-01,61500.0,True,True,
700118,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Lead Installer,HVAC Installer,Field - Install,Senior,2024-04-22,2026-07-22,1.3,2024-09-01,,True,True,
700386,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Marketing Coordinator,Marketing Coordinator,Marketing,Entry,2025-06-20,2026-06-27,2.2,2024-09-01,,True,True,
700384,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Marketing Coordinator,Marketing Coordinator,Marketing,Entry,2025-09-01,2026-07-12,1.7,2024-09-01,,True,True,
700421,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Operations Manager,Operations Manager,Executive & Corporate,Manager,2019-01-13,2025-11-28,9.1,2024-09-01,,True,True,
700308,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Parts Runner,Warehouse Associate,Warehouse & Fleet,Mid,2023-04-30,2025-12-12,8.6,2024-09-01,,True,True,
700343,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Payroll Administrator,Payroll Specialist,Finance & Accounting,Mid,2021-02-10,2025-06-07,14.8,2024-09-01,,True,True,
700100,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Plumber,Plumbing Service Technician,Field - Service,Mid,2023-09-17,2025-09-06,11.8,2024-09-01,,True,True,
700097,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Plumber,Plumbing Service Technician,Field - Service,Mid,2022-05-28,2024-10-15,22.5,2024-09-01,48500.0,True,True,
700505,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Project Coordinator,Operations Analyst,Executive & Corporate,Entry,2024-08-06,2026-04-20,4.4,2024-09-01,,True,True,
700357,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Recruiter,Recruiter,HR,Entry,2024-08-13,2025-07-19,13.4,2024-09-01,,True,True,
700358,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Recruiter,Recruiter,HR,Mid,2019-12-09,2024-10-06,22.8,2024-09-01,81500.0,True,True,
700359,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Recruiter,Recruiter,HR,Mid,2016-08-23,2024-11-20,21.4,2024-09-01,,True,True,
700458,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Regional Director,Regional Vice President,Executive & Corporate,Director,2024-10-19,2025-12-28,8.1,2024-09-01,85000.0,True,True,
700191,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Residential Sales Consultant,Sales Consultant,Sales,Entry,2024-12-29,2026-07-17,1.5,2024-09-01,52500.0,True,True,
700192,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Residential Sales Consultant,Sales Consultant,Sales,Mid,2023-05-29,2026-03-14,5.6,2024-09-01,48500.0,True,True,
700206,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Sales Manager,Sales Manager,Sales,Manager,2025-10-15,2025-10-16,10.5,2024-09-01,,True,True,
700111,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Senior Service Technician,HVAC Service Technician,Field - Service,Senior,2024-10-29,2025-09-25,11.2,2024-09-01,,True,True,
700434,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Service Manager,Service Manager,Field Leadership,Manager,2022-02-01,2024-12-07,20.8,2024-09-01,,True,True,
700430,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Service Manager,Service Manager,Field Leadership,Manager,2021-04-11,2025-09-06,11.8,2024-09-01,,True,True,
700432,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Service Manager,Service Manager,Field Leadership,Manager,2024-05-15,2025-10-26,10.2,2024-09-01,114000.0,True,True,
700057,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Service Technician,Service Technician,Field - Service,Mid,2023-09-19,2025-02-10,18.7,2024-09-01,,True,True,
700051,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Service Technician,Service Technician,Field - Service,Entry,2024-11-04,2025-02-03,18.9,2024-09-01,,True,True,
700325,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Staff Accountant,Accountant,Finance & Accounting,Entry,2025-01-30,2025-05-03,16.0,2024-09-01,61500.0,True,True,
700324,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Staff Accountant,Accountant,Finance & Accounting,Entry,2024-08-12,2025-12-30,8.0,2024-09-01,,True,True,
700327,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Staff Accountant,Accountant,Finance & Accounting,Entry,2026-07-10,2026-07-15,1.6,2024-09-01,68500.0,True,True,
700373,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Systems Administrator,Systems Administrator,IT,Mid,2014-04-12,2025-08-23,12.3,2024-09-01,,True,True,
700467,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Vice President of Operations,Regional Vice President,Executive & Corporate,Executive,2020-01-28,2025-07-02,14.0,2024-09-01,,True,True,
700468,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Vice President of Sales,Sales Manager,Sales,Executive,2021-03-18,2024-11-22,21.3,2024-09-01,,True,True,
700305,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Warehouse Associate,Warehouse Associate,Warehouse & Fleet,Mid,2021-04-25,2025-09-20,11.4,2024-09-01,,True,True,
700304,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Warehouse Associate,Warehouse Associate,Warehouse & Fleet,Entry,2024-10-06,2024-11-11,21.6,2024-09-01,,True,True,
700300,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Warehouse Associate,Warehouse Associate,Warehouse & Fleet,Entry,2025-02-24,2025-10-23,10.3,2024-09-01,,True,True,
700306,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Warehouse Associate,Warehouse Associate,Warehouse & Fleet,Mid,2023-06-10,2026-08-09,0.8,2024-09-01,43500.0,True,True,
700334,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Accounts Payable Specialist,AP/AR Specialist,Finance & Accounting,Entry,2026-01-23,2026-05-30,3.1,2024-09-01,,True,True,
700159,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Comfort Advisor,Sales Consultant,Sales,Mid,2022-11-16,2026-03-12,5.7,2024-09-01,,True,True,
700153,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Comfort Advisor,Sales Consultant,Sales,Entry,2024-03-21,2025-09-04,11.9,2024-09-01,54500.0,True,True,
700137,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Comfort Advisor,Sales Consultant,Sales,Mid,2021-12-05,2025-09-15,11.5,2024-09-01,,True,True,
700235,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2023-08-02,2026-04-01,5.0,2024-09-01,36500.0,True,True,
700246,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2026-06-20,2026-08-11,0.7,2024-09-01,36000.0,True,True,
700239,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2023-08-11,2025-02-05,18.8,2024-09-01,36500.0,True,True,
700406,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Director of Operations,Operations Director,Executive & Corporate,Director,2024-10-26,2026-04-19,4.4,2024-09-01,85000.0,True,True,
700269,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Dispatcher,Dispatcher,Customer Care & Dispatch,Entry,2024-04-04,2025-11-28,9.1,2024-09-01,,True,True,
700270,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Dispatcher,Dispatcher,Customer Care & Dispatch,Entry,2024-05-03,2025-04-30,16.1,2024-09-01,,True,True,
700314,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Fleet Coordinator,Fleet Coordinator,Warehouse & Fleet,Entry,2024-03-19,2025-03-09,17.8,2024-09-01,,True,True,
700081,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Installer,HVAC Installer,Field - Install,Entry,2024-07-06,2025-12-20,8.4,2024-09-01,,True,True,
700033,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2024-04-09,2025-10-01,11.0,2024-09-01,,True,True,
700030,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2021-01-20,2026-07-18,1.5,2024-09-01,,True,True,
700035,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Mid,2023-11-30,2026-03-17,5.5,2024-09-01,,True,True,
700034,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2024-05-07,2025-04-13,16.6,2024-09-01,,True,True,
700022,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",HVAC Service Technician,HVAC Service Technician,Field - Service,Entry,2025-09-06,2026-04-08,4.8,2024-09-01,,True,True,
700176,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Home Solutions Consultant,Sales Consultant,Sales,Entry,2024-08-26,2025-05-27,15.2,2024-09-01,,True,True,
700167,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Home Solutions Consultant,Sales Consultant,Sales,Entry,2024-03-17,2024-10-08,22.8,2024-09-01,49000.0,True,True,
700168,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Home Solutions Consultant,Sales Consultant,Sales,Mid,2023-03-23,2024-12-27,20.1,2024-09-01,,True,True,
700368,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",IT Support Specialist,Help Desk Technician,IT,Mid,2022-11-28,2025-10-12,10.6,2024-09-01,,True,True,
700215,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Inside Sales Representative,Inside Sales Representative,Sales,Mid,2024-02-25,2026-03-29,5.1,2024-09-01,,True,True,
700442,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Install Manager,Install Manager,Field Leadership,Manager,2025-06-12,2026-03-17,5.5,2024-09-01,,True,True,
700439,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Install Manager,Install Manager,Field Leadership,Manager,2023-11-23,2025-06-26,14.2,2024-09-01,,True,True,
700089,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Install Technician,HVAC Installer,Field - Install,Mid,2020-07-05,2026-04-29,4.1,2024-09-01,,True,True,
700115,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Lead Installer,HVAC Installer,Field - Install,Senior,2022-04-28,2025-04-30,16.1,2024-09-01,,True,True,
700117,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Lead Installer,HVAC Installer,Field - Install,Senior,2024-06-02,2025-01-23,19.3,2024-09-01,46000.0,True,True,
700398,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Marketing Manager,Marketing Manager,Marketing,Manager,2023-11-13,2026-07-08,1.8,2024-09-01,62500.0,True,True,
700422,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Operations Manager,Operations Manager,Executive & Corporate,Manager,2026-06-24,2026-07-12,1.7,2024-09-01,,True,True,
700344,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Payroll Administrator,Payroll Specialist,Finance & Accounting,Entry,2026-01-03,2026-07-18,1.5,2024-09-01,,True,True,
700102,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Plumber,Plumbing Service Technician,Field - Service,Mid,2019-05-04,2026-01-20,7.4,2024-09-01,54500.0,True,True,
700456,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Regional Director,Regional Vice President,Executive & Corporate,Director,2023-03-30,2025-09-27,11.1,2024-09-01,99500.0,True,True,
700185,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Columbus, OH",Residential Sales Consultant,Sales Consultant,Sales,Mid,2020-02-08,2026-05-13,3.6,2024-09-01,52000.0,True,True,
