employee_id,opco,raw_department,raw_job_title,field,issue,original_value,resolved_value,rule_applied
PIN-10386,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10184,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10021,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10215,Redwood Electric,Sales,Sr Home Solutions Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10074,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10089,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10247,Redwood Electric,CSR,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10206,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10009,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10263,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10137,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10415,Pinnacle Plumbing & Drain,Acctg,Staff Accountant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10127,Pinnacle Plumbing & Drain,Field,Installation Manager,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10259,Redwood Electric,Parts & Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10286,Pinnacle Plumbing & Drain,Sales,Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10056,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10035,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10014,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10283,Redwood Electric,HR,Recruiter,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10172,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10152,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10266,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10113,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10194,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10120,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10384,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10249,Redwood Electric,CSR,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10041,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10253,Redwood Electric,Parts & Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10023,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10403,Pinnacle Plumbing & Drain,Fleet,Fleet Coordinator,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10025,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10160,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10426,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10011,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10096,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10108,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10352,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10217,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10031,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10196,Redwood Electric,Field Ops - Service,Field Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10176,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10029,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10073,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10186,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10378,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10175,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10350,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10261,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10181,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10266,Redwood Electric,Parts & Fleet,Parts Coordinator,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10091,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10213,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10167,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10312,Pinnacle Plumbing & Drain,Sales,Senior Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10393,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10179,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10042,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10045,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10103,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10280,Pinnacle Plumbing & Drain,Field,Field Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10252,Redwood Electric,CSR,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10115,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10092,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10260,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10168,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10116,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10107,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10067,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10285,Pinnacle Plumbing & Drain,Sales,Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10212,Redwood Electric,Sales,Sr Home Solutions Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10102,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10208,Redwood Electric,Sales,Home Solutions Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10254,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10250,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10371,Pinnacle Plumbing & Drain,Call Center,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10236,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10026,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10242,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10246,Redwood Electric,CSR,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10165,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10381,Pinnacle Plumbing & Drain,Call Center,Customer Care Manager,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10272,Redwood Electric,Finance,Payroll Specialist,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10180,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10174,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10355,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10294,Pinnacle Plumbing & Drain,Sales,Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10078,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10359,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10370,Pinnacle Plumbing & Drain,Call Center,Dispacher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10353,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10203,Redwood Electric,Field Ops - Service,Service Manager,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-C333,Pinnacle Plumbing & Drain,Fleet,Temp Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10058,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10278,Redwood Electric,HR,HR Coordinator,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10024,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10071,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10314,Pinnacle Plumbing & Drain,Sales,Inside Sales Representative,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10349,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10136,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10095,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10271,Redwood Electric,Finance,AP/AR Specialist,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10229,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10162,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10155,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10026,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10330,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-C304,Pinnacle Plumbing & Drain,Field,Contract HVAC Technician,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10032,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10296,Pinnacle Plumbing & Drain,Sales,Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10161,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10124,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10068,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10073,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10087,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10158,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10147,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10241,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10222,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10077,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10058,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10328,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10249,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10200,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10204,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10238,Redwood Electric,CSR,Cust Svc Rep,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
