employee_id,opco,department,job_title,job_level,employee_type,pay_rate,pay_basis,scheduled_weekly_hours,hire_date,termination_date,status,work_state
GLC-10145,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,,28.08,Hourly,40.0,2026-04-07,,Active,MI
NHS-C330,Northstar Corporate,IT,IT Consultant,,Contractor,85.05,Hourly,40.0,2025-02-18,,Active,FL
RED-10214,Redwood Electric,Sales,Sr Home Solutions Consultant,,Regular,54000.0,Annual,,2023-05-08,,Active,AZ
PIN-10120,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,,,43.63,,,2024-01-10,,Active,TX
PIN-10203,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,Regular,28.19,,,2023-12-10,,Active,TX
NHS-10023,Northstar Corporate,HR,HR Manager,,Regular,103500.0,Annual,40.0,2016-10-06,,Active,FL
PIN-10023,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,,20.61,,,2023-10-05,,Active,TX
GLC-10282,Great Lakes Comfort Systems,Sales,Comfort Advisor,L2,Regular,42000.0,Annual,40.0,2024-10-09,,Active,MI
RED-10075,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),,Full-Time,42.07,Hourly,,2024-10-18,,Active,AZ
BAY-10058,Bayside Mechanical,Install,HVAC Installer II,,,26.57,Hourly,40.0,2023-07-09,,Active,FL
BAY-10150,Bayside Mechanical,Service,HVAC Service Tech I,,,21.62,Hourly,40.0,2019-04-23,,Active,FL
BAY-10346,Bayside Mechanical,Sales,Comfort Advisor,,Regular,42500.0,Annual,40.0,2025-08-18,,Active,FL
RED-10117,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),,Regular,19.55,Hourly,,2023-07-14,,Active,AZ
BAY-90056,Bayside Mechanical,Install,HVAC Installer I,,Full-Time,21.57,Hourly,40.0,2020-10-31,2026-08-29,Terminated,FL
PIN-10222,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,26.89,,,2025-05-30,,Active,TX
RED-10144,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,Regular,26.98,Hourly,,2020-12-28,,Active,AZ
BAY-10347,Bayside Mechanical,Sales,Comfort Advisor,,Full-Time,46000.0,Annual,40.0,2023-05-19,,Active,FL
RED-10161,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,,32.66,Hourly,,2025-05-18,,Leave,AZ
PIN-10339,Pinnacle Plumbing & Drain,Call Center,CSR,,FT,20.14,,,2017-12-12,,Active,TX
BAY-10385,Bayside Mechanical,Customer Care,Customer Service Rep,,FT,17.88,Hourly,40.0,2023-03-16,,Active,FL
PIN-10277,Pinnacle Plumbing & Drain,Field,Field Supervisor,,Regular,80000.0,,,2026-01-22,,Active,TX
BAY-C315,Bayside Mechanical,Install,Contract Installer,,Contractor,48.06,Hourly,40.0,2025-09-23,,Active,FL
RED-10175,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),,Regular,37.36,Hourly,,2025-05-22,,Active,AZ
BAY-10210,Bayside Mechanical,Service,HVAC Service Tech II,,FT,26.76,Hourly,40.0,2023-05-26,,Active,FL
GLC-10085,Great Lakes Comfort Systems,Install,Installer,L2,Regular,27.89,Hourly,40.0,2022-08-14,,Active,MI
GLC-10056,Great Lakes Comfort Systems,Install,Installer,L2,Full-Time,24.32,Hourly,40.0,2022-05-29,,Active,MI
RED-10004,Redwood Electric,Installation,Apprentice Electrician (Lvl 1),,Regular,19.14,Hourly,,2019-03-25,,Active,AZ
PIN-10101,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Regular,23.1,,,2026-01-04,,Active,TX
BAY-10356,Bayside Mechanical,Sales,Comfort Advisor,,FT,48000.0,Annual,40.0,2024-07-02,,Active,FL
GLC-10374,Great Lakes Comfort Systems,Warehouse,Warehouse Manager,L3,FT,70500.0,Annual,40.0,2025-07-20,,Active,MI
GLC-10377,Great Lakes Comfort Systems,Finance,AP/AR Specialist,L1,Regular,23.49,Hourly,40.0,2024-03-30,,Active,MI
PIN-10358,Pinnacle Plumbing & Drain,Call Center,CSR,,FT,20.84,,,2025-03-21,,Active,TX
PIN-10259,Pinnacle Plumbing & Drain,Field,Plumber - Master,,FT,37.16,,,2026-01-08,,Active,TX
RED-10011,Redwood Electric,Installation,Apprentice Electrician (Lvl 1),,Regular,20.32,Hourly,,2026-02-28,,Active,AZ
PIN-10033,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,Full-Time,19.45,,,2026-06-18,,Active,TX
PIN-90008,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,Full-Time,27.67,,,2021-11-29,2025-12-14,Terminated,TX
GLC-90048,Great Lakes Comfort Systems,Warehouse,Warehouse Manager,L3,FT,70500.0,Annual,40.0,2022-11-28,2026-07-06,Terminated,MI
PIN-10169,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,,27.9,,,2024-05-05,,Active,TX
GLC-10174,Great Lakes Comfort Systems,Service - Plumbing,Technician,L2,FT,29.89,Hourly,40.0,2024-12-23,,Active,MI
NHS-10026,Northstar Corporate,IT,Help Desk Technician,,Full-Time,25.45,Hourly,40.0,2025-05-22,,Active,FL
GLC-10259,Great Lakes Comfort Systems,Service - Plumbing,Field Supervisor,L4,Regular,79000.0,Annual,40.0,2011-06-30,,Active,MI
PIN-C326,Pinnacle Plumbing & Drain,Field,Contract Electrician,,1099,55.66,,,2026-04-20,,Active,TX
PIN-10390,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,,Full-Time,17.34,,,2025-12-04,,Active,TX
GLC-10096,Great Lakes Comfort Systems,Install,Installer,L3,Regular,42.71,Hourly,40.0,2020-12-15,,Active,MI
PIN-10199,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,Full-Time,27.67,,,2024-04-27,,Active,TX
PIN-10145,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,,Regular,21.81,,,2025-04-02,,Active,TX
GLC-10196,Great Lakes Comfort Systems,Service - Plumbing,Technician,L2,Regular,32.6,Hourly,40.0,2020-11-04,,Active,MI
PIN-10065,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,FT,29.54,,,2021-09-23,,Active,TX
PIN-10244,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,Full-Time,33.88,,,2024-03-12,,Active,TX
PIN-10093,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Regular,23.14,,,2024-08-28,,Active,TX
PIN-10354,Pinnacle Plumbing & Drain,Call Center,CSR,,Regular,20.78,,,2025-02-08,,Active,TX
PIN-10007,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,Regular,21.87,,,2021-08-14,,Active,TX
RED-10065,Redwood Electric,Installation,Electrical Installer (Lvl 2),,FT,22.45,Hourly,,2025-04-25,,Active,AZ
BAY-10175,Bayside Mechanical,Service,HVAC Service Tech I,,,17.06,Hourly,40.0,2022-07-15,,Active,FL
PIN-10369,Pinnacle Plumbing & Drain,Call Center,Dispatcher,,Full-Time,24.49,,,2025-11-23,,Active,TX
RED-90023,Redwood Electric,Finance,Payroll Specialist,,Regular,56000.0,Annual,,2019-01-19,2026-01-27,Terminated,AZ
PIN-10067,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,FT,29.04,,,2024-12-17,,Active,TX
GLC-10201,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,Regular,24.91,Hourly,40.0,2025-09-03,,Active,MI
BAY-10177,Bayside Mechanical,Service,HVAC Service Tech I,,Regular,18.49,Hourly,40.0,2024-09-24,,Active,FL
GLC-90017,Great Lakes Comfort Systems,Install,Installer,L3,Regular,44.36,Hourly,40.0,2019-06-23,2025-09-28,Terminated,MI
BAY-C301,Bayside Mechanical,Service,Contract HVAC Technician,,1099,46.21,Hourly,40.0,2025-12-21,,Active,FL
BAY-10093,Bayside Mechanical,Install,HVAC Installer II,,,0.0,Hourly,40.0,2022-10-07,,Active,FL
BAY-10014,Bayside Mechanical,Install,HVAC Installer I,,,21.16,Hourly,40.0,2024-02-17,,Active,FL
RED-10275,Redwood Electric,HR,HR Coordinator,,Full-Time,50500.0,Annual,,2020-12-25,,Active,AZ
BAY-10412,Bayside Mechanical,Customer Care,Dispatcher,,,24.76,Hourly,40.0,2024-02-02,,Active,FL
GLC-10313,Great Lakes Comfort Systems,Customer Care,Customer Service Representative,L1,,16.39,Hourly,25.0,2024-02-20,,Active,MI
BAY-10283,Bayside Mechanical,Service,HVAC Service Tech III,,Full-Time,38.47,Hourly,40.0,2023-01-16,,Active,FL
GLC-10332,Great Lakes Comfort Systems,Customer Care,Dispatcher,L2,Regular,23.74,Hourly,40.0,2025-04-04,,Active,MI
GLC-10268,Great Lakes Comfort Systems,Sales,Comfort Advisor,L2,Regular,48000.0,Annual,40.0,2025-09-12,,Active,MI
PIN-10386,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,,FT,16.4,,,2022-12-17,,Active,TX
GLC-10135,Great Lakes Comfort Systems,Service - Plumbing,Technician,L1,Regular,20.44,Hourly,40.0,2021-12-31,,Active,MI
RED-10184,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),,FT,41.74,Hourly,,2015-12-22,,Active,AZ
RED-10021,Redwood Electric,Installation,Electrical Installer (Lvl 2),,,29.45,Hourly,,2022-12-04,,Active,AZ
RED-10215,Redwood Electric,Sales,Sr Home Solutions Consultant,,Full-Time,59000.0,Annual,,2023-12-03,,Active,AZ
PIN-90046,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,,Regular,58000.0,,,2022-02-24,,Terminated,TX
RED-10074,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),,Regular,42.53,Hourly,,2023-08-15,,Active,AZ
BAY-10173,Bayside Mechanical,Service,HVAC Service Tech I,,Regular,17.11,Hourly,40.0,2025-10-14,,Active,FL
PIN-10089,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Full-Time,22.72,,,2020-06-09,,Active,TX
RED-10247,Redwood Electric,CSR,Dispatcher,,Full-Time,23.21,Hourly,,2019-06-10,,Active,AZ
PIN-10206,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,,29.52,,,2022-08-05,,Active,TX
PIN-10009,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,,18.73,,,2025-05-23,,Active,TX
PIN-10263,Pinnacle Plumbing & Drain,Field,Plumber - Master,,FT,42.95,,,2025-02-12,,Active,TX
GLC-10147,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,FT,28.88,Hourly,40.0,2019-11-19,,Active,MI
PIN-10137,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,,Full-Time,17.21,,,2025-07-27,,Active,TX
PIN-10415,Pinnacle Plumbing & Drain,Acctg,Staff Accountant,,,62000.0,,,2021-03-14,,Active,TX
PIN-10127,Pinnacle Plumbing & Drain,Field,Installation Manager,,Regular,78000.0,,,2022-04-05,,Active,TX
RED-10259,Redwood Electric,Parts & Fleet,Warehouse Associate,,FT,18.24,Hourly,,2025-06-27,,Active,AZ
GLC-10205,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,FT,24.17,Hourly,40.0,2025-05-19,,Active,MI
PIN-10286,Pinnacle Plumbing & Drain,Sales,Sales Consultant,,,50000.0,,,2025-04-06,,Active,TX
PIN-10056,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Regular,22.04,,,2024-03-10,,Active,TX
BAY-10081,Bayside Mechanical,Install,HVAC Installer II,,FT,23.13,Hourly,40.0,2023-11-17,,Active,FL
PIN-10035,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Full-Time,24.94,,,2025-01-15,,Active,TX
NHS-10045,Northstar Corporate,IT,Business Systems Analyst,,Full-Time,89500.0,Annual,40.0,2021-01-13,,Active,FL
BAY-10243,Bayside Mechanical,Service,HVAC Service Tech II,,FT,32.63,Hourly,40.0,2023-07-22,,Active,FL
PIN-10014,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,Full-Time,21.64,,,2020-08-11,,Active,TX
BAY-10015,Bayside Mechanical,Install,HVAC Installer I,,FT,21.97,Hourly,40.0,2023-04-09,,Active,FL
RED-10283,Redwood Electric,HR,Recruiter,,FT,55000.0,Annual,,2023-02-24,,Active,AZ
BAY-10236,Bayside Mechanical,Service,HVAC Service Tech II,,Full-Time,27.75,Hourly,40.0,2025-12-23,,Active,FL
BAY-10123,Bayside Mechanical,Install,Lead HVAC Installer,,,44.07,Hourly,40.0,2024-09-09,,Active,FL
RED-10172,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,FT,28.19,Hourly,,2025-08-06,,Active,AZ
GLC-10137,Great Lakes Comfort Systems,Service - HVAC,Technician,L1,Regular,185000.0,Annual,40.0,2024-12-22,,Active,MI
RED-10152,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,,33.27,Hourly,,2025-08-28,,Active,AZ
GLC-C340,Great Lakes Comfort Systems,Customer Care,Temp CSR,,Temp,17.93,Hourly,40.0,2024-10-23,,Active,MI
BAY-10238,Bayside Mechanical,Service,HVAC Service Tech II,,Regular,25.06,Hourly,40.0,2016-11-12,,Active,FL
GLC-C323,Great Lakes Comfort Systems,Service - Plumbing,Contract Electrician,,1099,42.73,Hourly,40.0,2025-09-27,,Active,MI
PIN-10266,Pinnacle Plumbing & Drain,Field,Plumber - Master,,,34.04,,,2023-03-14,,Active,TX
BAY-10449,Bayside Mechanical,Warehouse,Parts Coordinator,,FT,25.32,Hourly,40.0,2024-06-20,,Active,FL
RED-10113,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),,Regular,19.58,Hourly,,2024-08-31,,Active,AZ
PIN-10194,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,Regular,29.51,,,2021-12-03,,Active,TX
BAY-10405,Bayside Mechanical,Sales,Customer Service Rep,,Regular,20.4,Hourly,40.0,2025-05-24,,,FL
GLC-10132,Great Lakes Comfort Systems,Service - HVAC,Technician,L1,Full-Time,20.92,Hourly,40.0,2020-11-24,,Active,MI
BAY-10136,Bayside Mechanical,Install,Install Mgr,,,79500.0,Annual,40.0,2023-12-25,,Active,FL
GLC-10052,Great Lakes Comfort Systems,Install,Installer,L2,Regular,23.09,Hourly,40.0,2024-09-15,,Active,MI
BAY-10316,Bayside Mechanical,Service,Service Supervisor,,Regular,84500.0,Annual,40.0,2024-01-15,,Active,FL
RED-10120,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,Regular,31.54,Hourly,,2023-01-10,,Active,AZ
BAY-10308,Bayside Mechanical,Service,HVAC Service Tech III,,Full-Time,37.2,Hourly,40.0,2024-06-16,,Active,FL
GLC-10008,Great Lakes Comfort Systems,Install,Installer,L1,Regular,19.59,Hourly,40.0,2015-10-19,,Active,MI
PIN-10384,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,,Regular,18.4,,,2017-02-14,,Active,TX
BAY-10165,Bayside Mechanical,Service,HVAC Service Tech I,,Regular,20.61,Hourly,40.0,2024-02-02,,Active,FL
RED-10249,Redwood Electric,CSR,Dispatcher,,,22.07,Hourly,,2026-02-08,,Active,AZ
RED-90022,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),,Regular,20.79,Hourly,,2017-04-21,2025-11-29,Terminated,AZ
BAY-10208,Bayside Mechanical,Service,HVAC Service Tech II,,Regular,24.66,Hourly,40.0,2021-12-26,,Active,FL
GLC-10202,Great Lakes Comfort Systems,Service - Plumbing,Technician,L2,Regular,25.38,Hourly,40.0,2023-05-27,,Active,MI
RED-10041,Redwood Electric,Installation,Electrical Installer (Lvl 2),,Regular,27.99,Hourly,,2026-01-24,,Active,AZ
RED-10253,Redwood Electric,Parts & Fleet,Warehouse Associate,,Regular,16.37,Hourly,,2023-04-18,,Active,AZ
NHS-10039,Northstar Corporate,IT,Systems Administrator,,FT,91500.0,Annual,40.0,2020-12-29,,Active,FL
RED-10023,Redwood Electric,Installation,Electrical Installer (Lvl 2),,Regular,25.01,Hourly,,2023-03-15,,Active,AZ
PIN-10403,Pinnacle Plumbing & Drain,Fleet,Fleet Coordinator,,,53500.0,,,2020-11-21,,Active,TX
BAY-10244,Bayside Mechanical,Service,HVAC Service Tech II,,Regular,33.09,Hourly,40.0,2023-09-24,,Active,FL
BAY-10030,Bayside Mechanical,Install,HVAC Installer II,,Full-Time,26.55,Hourly,40.0,2024-12-28,,Active,FL
BAY-10115,Bayside Mechanical,Install,Lead HVAC Installer,,Full-Time,42.48,Hourly,40.0,2024-02-25,,Active,FL
GLC-10040,Great Lakes Comfort Systems,Install,Installer,L2,Regular,24.82,Hourly,40.0,2024-10-12,,Active,MI
BAY-10223,Bayside Mechanical,Service,HVAC Service Tech II,,Regular,31.46,Hourly,40.0,2024-10-21,,Active,FL
NHS-10061,Northstar Corporate,Executive & Corporate,Executive Assistant,,Regular,71500.0,Annual,40.0,2024-06-13,,Active,FL
GLC-10100,Great Lakes Comfort Systems,Install,Installer,L3,Regular,41.62,Hourly,40.0,2023-01-08,,Active,MI
NHS-10055,Northstar Corporate,Marketing,Digital Marketing Specialist,,Regular,64000.0,Annual,40.0,2026-01-31,,Active,FL
PIN-10025,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,FT,18.21,,,2025-06-12,,Active,TX
RED-10160,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,Regular,24.63,Hourly,,2023-03-03,,Active,AZ
PIN-90015,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,,Regular,60500.0,,,2018-11-01,2026-06-16,Terminated,TX
PIN-10426,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,,Full-Time,19.0,,,2026-07-14,,Active,TX
GLC-10333,Great Lakes Comfort Systems,Customer Care,Dispatcher,L2,FT,,Hourly,40.0,2025-10-22,,Active,MI
BAY-10162,Bayside Mechanical,Service,HVAC Service Tech I,,,18.31,Hourly,40.0,2024-01-22,,Active,FL
BAY-10003,Bayside Mechanical,Install,HVAC Installer I,,Full-Time,21.57,Hourly,40.0,2025-08-10,,Active,FL
BAY-10225,Bayside Mechanical,Service,HVAC Service Tech II,,,28.28,Hourly,40.0,2024-08-21,,Active,FL
GLC-10391,Great Lakes Comfort Systems,Install,Installer,L1,Regular,18.0,Hourly,40.0,2026-07-21,,Active,MI
GLC-10180,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,,32.46,Hourly,40.0,2022-07-14,,Active,MI
GLC-10392,Great Lakes Comfort Systems,Service - Plumbing,Technician,L2,Full-Time,26.0,Hourly,40.0,2026-07-28,,Active,MI
PIN-10011,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,Regular,17.77,,,2025-04-23,,Active,TX
RED-10096,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),,Regular,17.06,Hourly,,2021-10-30,,Active,AZ
PIN-10108,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,,FT,43.35,,,2025-05-30,,Active,TX
PIN-10352,Pinnacle Plumbing & Drain,Call Center,CSR,,Regular,18.59,,,2025-10-08,,Active,TX
GLC-10371,Great Lakes Comfort Systems,Warehouse,Warehouse Manager,L3,Regular,77500.0,Annual,40.0,2024-08-29,,Active,MI
PIN-10217,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,,24.49,,,2024-09-25,,Active,TX
PIN-10031,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,,21.96,,,2023-11-18,,Active,TX
BAY-10204,Bayside Mechanical,Service,HVAC Service Tech II,,Regular,33.67,Hourly,40.0,2024-06-10,,Active,FL
PIN-90004,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,25.32,,,2023-03-28,2026-05-15,Terminated,TX
RED-10196,Redwood Electric,Field Ops - Service,Field Supervisor,,Regular,81500.0,Annual,,2022-07-26,,Active,AZ
PIN-10176,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,28.48,,,2021-12-31,,Active,TX
BAY-10406,Bayside Mechanical,Customer Care,Customer Service Rep,,,17.96,Hourly,24.0,2025-10-20,,Active,FL
BAY-10444,Bayside Mechanical,Warehouse,Warehouse Associate,,,16.36,Hourly,40.0,2025-11-17,,Leave,FL
RED-10029,Redwood Electric,Installation,Electrical Installer (Lvl 2),,,22.1,Hourly,,2021-06-25,,Active,AZ
BAY-10227,Bayside Mechanical,Service,HVAC Service Tech II,,,33.61,Hourly,40.0,2023-01-25,,Active,FL
BAY-10293,Bayside Mechanical,Service,HVAC Service Tech III,,Regular,34.15,Hourly,40.0,2024-01-13,,Active,FL
BAY-10001,Bayside Mechanical,Install,HVAC Installer I,,Regular,19.35,Hourly,40.0,2017-05-20,,Active,FL
PIN-10073,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,,26.96,,,2023-12-24,,Active,TX
RED-10186,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),,,38.94,Hourly,,2025-08-11,,Active,AZ
PIN-10378,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,,Regular,60500.0,,,2024-12-08,,Active,TX
PIN-90067,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,32.27,,,2018-09-20,2025-11-26,Terminated,TX
PIN-10175,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,,31.09,,,2026-04-12,,Active,TX
GLC-10182,Great Lakes Comfort Systems,Service - Plumbing,Technician,L2,Regular,32.1,Hourly,40.0,2025-02-07,,Active,MI
GLC-10122,Great Lakes Comfort Systems,Service - HVAC,Technician,L1,FT,20.3,Hourly,40.0,2022-02-07,,Active,MI
PIN-10350,Pinnacle Plumbing & Drain,Call Center,CSR,,FT,20.87,,,2024-12-10,,Active,TX
GLC-10024,Great Lakes Comfort Systems,Install,Installer,L1,Full-Time,20.19,Hourly,40.0,2025-06-21,,Active,MI
NHS-10003,Northstar Corporate,Finance & Accounting,Payroll Specialist,,Full-Time,56000.0,Annual,40.0,2022-09-16,,Active,FL
GLC-10315,Great Lakes Comfort Systems,Customer Care,Customer Service Representative,L1,Regular,17.23,Hourly,40.0,2023-09-17,,Active,MI
BAY-10222,Bayside Mechanical,Service,HVAC Service Tech II,,FT,29.42,Hourly,40.0,2023-07-27,,Active,FL
PIN-10261,Pinnacle Plumbing & Drain,Field,Plumber - Master,,Regular,40.17,,,2021-09-04,,Active,TX
GLC-10274,Great Lakes Comfort Systems,Sales,Comfort Advisor,L2,Regular,50500.0,Annual,40.0,2023-06-21,,Active,MI
BAY-10337,Bayside Mechanical,Sales,Comfort Advisor,,Regular,,Annual,40.0,2022-10-21,,Active,FL
BAY-10055,Bayside Mechanical,Install,HVAC Installer II,,,24.07,Hourly,40.0,2024-08-04,,Active,FL
PIN-10181,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,,27.26,,,2024-08-02,,Active,TX
RED-90066,Redwood Electric,Installation,Apprentice Electrician (Lvl 1),,Full-Time,21.13,Hourly,,2018-12-21,2025-10-12,Terminated,AZ
RED-10266,Redwood Electric,Parts & Fleet,Parts Coordinator,,Regular,23.33,Hourly,,2022-02-20,,Active,AZ
BAY-10473,Bayside Mechanical,HR,HR Coordinator,,,52000.0,Annual,40.0,2025-02-01,,Active,FL
PIN-10091,Pinnacle Plumbing & Drain,Field,Plumbing Installer,,Regular,29.58,,,2024-07-06,,Active,TX
BAY-10469,Bayside Mechanical,Finance,Staff Accountant,,Regular,64000.0,Annual,40.0,2024-11-11,,Active,FL
BAY-10468,Bayside Mechanical,Finance,Staff Accountant,,FT,68500.0,Annual,40.0,2023-09-10,,Active,FL
GLC-10234,Great Lakes Comfort Systems,Service - HVAC,Technician,L3,,39.27,Hourly,40.0,2023-06-27,,Active,MI
RED-90077,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),,Regular,29.86,Hourly,,2018-05-12,2026-08-08,Terminated,AZ
BAY-10434,Bayside Mechanical,Warehouse,Warehouse Associate,,Regular,16.53,Hourly,40.0,2023-10-31,,Active,FL
PIN-10213,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,31.54,,,2023-10-03,,Active,TX
