profile_id,entity_id,title_raw,title_provider_cleaned,seniority_provider,location,start_date,profile_last_updated,salary_est_base
700498,4471023,Consultant,Consultant,Mid,"Cincinnati, OH",2006-05-01,2019-11-01,
700466,6120887,Vice President of Operations,VP Operations,Executive,"Louisville, KY",2021-08-04,2025-03-15,
700322,4471023,Staff Accountant,Accountant,Entry,"Columbus, OH",2025-03-10,2026-05-24,
700162,6120887,Home Solutions Consultant,Sales Representative,Mid,"Florence, KY",2010-05-01,2022-08-13,
700260,6120887,Dispatcher,Dispatcher,Mid,"Louisville, KY",2012-12-01,2021-08-04,
700452,4471023,General Manager,General Manager,Manager,"Cincinnati, OH",2013-07-19,2024-11-01,
700614,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Tampa, FL",2026-07-26,2026-08-02,
700115,4471023,Lead Installer,Lead Installer,Senior,"Columbus, OH",2022-04-28,2025-04-30,
700237,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2022-02-26,2025-04-12,
700265,4471023,Dispatcher,Dispatcher,Mid,"Louisville, KY",2011-03-01,2020-04-20,
700357,4471023,Recruiter,Recruiter,Entry,"Cincinnati, OH",2024-08-13,2025-07-19,
700577,9083341,Warehouse Associate,Warehouse Associate,Mid,"Fort Myers, FL",2010-09-01,2020-12-07,36000.0
700532,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Lakeland, FL",2021-06-27,2026-03-30,
700235,4471023,Customer Service Representative,Customer Service Rep,Mid,"Columbus, OH",2023-08-02,2026-04-01,36500.0
700451,4471023,General Manager,General Manager,Manager,"Cincinnati, OH",2013-04-01,2019-04-19,
700385,4471023,Marketing Coordinator,Marketing Coordinator,Mid,"Mason, OH",2016-10-05,2024-11-05,52500.0
700416,4471023,Branch Manager,Branch Manager,Manager,"Florence, KY",2022-01-13,2025-12-18,
700608,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Tampa, FL",2023-08-02,2025-05-04,53000.0
700100,4471023,Plumber,Plumber,Mid,"Cincinnati, OH",2023-09-17,2025-09-06,
700209,4471023,Inside Sales Representative,Inside Sales,Mid,"Mason, OH",2013-05-01,2018-11-09,
700380,4471023,Marketing Coordinator,Marketing Coordinator,Mid,"Columbus, OH",2010-10-01,2018-08-01,55500.0
700189,6120887,Residential Sales Consultant,Sales Representative,Entry,"Florence, KY",2026-02-26,2026-04-14,46000.0
700250,4471023,Customer Service Representative,Customer Service Rep,Entry,"Cincinnati, OH",2025-02-20,2025-12-11,
700398,4471023,Marketing Manager,Marketing Manager,Manager,"Columbus, OH",2023-11-13,2026-07-08,62500.0
700503,6120887,Project Coordinator,Project Coordinator,Mid,"Lexington, KY",2021-09-19,2026-03-03,51000.0
700628,9083341,Delivery Driver,Driver,Mid,"Orlando, FL",2024-01-27,2026-07-27,38000.0
700471,4471023,Team Member,Unknown,Mid,"Louisville, KY",2010-03-01,2022-10-09,
700552,9083341,Counter Sales Associate,Counter Sales,Mid,"Fort Myers, FL",2020-11-14,2025-04-25,48500.0
700176,4471023,Home Solutions Consultant,Sales Representative,Entry,"Columbus, OH",2024-08-26,2025-05-27,
700525,9083341,Territory Sales Rep - Wholesale,Sales Representative,Entry,"Tampa, FL",2025-07-24,2026-08-15,
700133,6120887,Comfort Advisor,Sales Representative,Mid,"Louisville, KY",2020-08-30,2026-01-14,55000.0
700457,4471023,Regional Director,Regional Director,Director,"Louisville, KY",2023-02-04,2026-03-15,
700033,4471023,HVAC Service Technician,Service Technician,Entry,"Columbus, OH",2024-04-09,2025-10-01,
700117,4471023,Lead Installer,Lead Installer,Senior,"Columbus, OH",2024-06-02,2025-01-23,46000.0
700102,4471023,Plumber,Plumber,Mid,"Columbus, OH",2019-05-04,2026-01-20,54500.0
700018,4471023,HVAC Service Technician,Service Technician,Entry,"Cincinnati, OH",2025-02-11,2025-08-28,58000.0
700547,9083341,Counter Sales Associate,Counter Sales,Mid,"Orlando, FL",2010-09-01,2018-03-27,
700350,4471023,HR Generalist,HR Generalist,Entry,"Cincinnati, OH",2025-05-15,2026-06-19,60500.0
700204,4471023,Sales Manager,Sales Manager,Manager,"Dayton, OH",2023-11-01,2025-11-20,50000.0
700598,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Fort Myers, FL",2009-11-01,2020-03-11,
700269,4471023,Dispatcher,Dispatcher,Entry,"Columbus, OH",2024-04-04,2025-11-28,
700056,6120887,Service Technician,Service Technician,Mid,"Florence, KY",2014-09-02,2024-11-01,
700348,4471023,HR Generalist,HR Generalist,Mid,"Lexington, KY",2007-06-01,2021-07-02,
700412,6120887,Branch Manager,Branch Manager,Manager,"Louisville, KY",2025-03-07,2025-09-17,97000.0
700211,4471023,Inside Sales Representative,Inside Sales,Entry,"Cincinnati, OH",2024-06-02,2025-02-13,
700254,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2022-12-24,2025-09-03,
700636,9083341,Credit Analyst,Credit Analyst,Mid,"Fort Myers, FL",2023-12-13,2026-03-28,40000.0
700278,6120887,Dispatcher,Dispatcher,Entry,"Louisville, KY",2025-01-15,2025-06-22,
700002,4471023,HVAC Service Technician,Service Technician,Mid,"Mason, OH",2013-07-01,2020-12-03,
700597,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Tampa, FL",2014-09-01,2022-04-04,
700373,4471023,Systems Administrator,Systems Administrator,Mid,"Cincinnati, OH",2014-04-12,2025-08-23,
700146,6120887,Comfort Advisor,Sales Representative,Mid,"Lexington, KY",2021-10-13,2024-10-28,
700132,4471023,Comfort Advisor,Sales Representative,Entry,"Louisville, KY",2026-04-05,2026-07-26,50500.0
700609,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Lakeland, FL",2015-03-01,2025-07-31,
700540,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Lakeland, FL",2020-03-05,2024-12-28,
700165,6120887,Home Solutions Consultant,Sales Representative,Entry,"Florence, KY",2024-08-08,2026-01-25,55500.0
700578,9083341,Warehouse Associate,Warehouse Associate,Mid,"Tampa, FL",2023-11-08,2024-10-30,
700261,4471023,Dispatcher,Dispatcher,Mid,"Lexington, KY",2009-10-01,2019-06-18,
700097,4471023,Plumber,Plumber,Mid,"Cincinnati, OH",2022-05-28,2024-10-15,48500.0
700243,4471023,Customer Service Representative,Customer Service Rep,Entry,"Lexington, KY",2025-02-02,2025-03-29,
700030,4471023,HVAC Service Technician,Service Technician,Mid,"Columbus, OH",2021-01-20,2026-07-18,
700590,9083341,Warehouse Associate,Warehouse Associate,Mid,"Fort Myers, FL",2019-02-09,2026-05-08,
700119,4471023,Lead Installer,Lead Installer,Senior,"Cincinnati, OH",2025-11-03,2026-06-11,61500.0
700534,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Fort Myers, FL",2024-01-12,2025-08-21,
700058,4471023,Service Technician,Service Technician,Entry,"Louisville, KY",2024-10-04,2026-01-06,
700393,4471023,Digital Marketing Specialist,Marketing Specialist,Entry,"Cincinnati, OH",2025-09-11,2026-03-26,
700437,4471023,Install Manager,Install Manager,Manager,"Lexington, KY",2009-04-01,2019-04-19,
700518,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Fort Myers, FL",2024-01-14,2026-05-30,58000.0
700354,4471023,HR Generalist,HR Generalist,Mid,"Lexington, KY",2021-06-01,2024-10-30,85500.0
700446,4471023,Field Supervisor,Field Supervisor,Manager,"Cincinnati, OH",2020-09-18,2025-08-29,
700021,4471023,HVAC Service Technician,Service Technician,Entry,"Cincinnati, OH",2026-04-11,2026-07-09,
700182,4471023,Residential Sales Consultant,Sales Representative,Mid,"Cincinnati, OH",2010-08-01,2021-09-06,55000.0
700164,4471023,Home Solutions Consultant,Sales Representative,Mid,"Louisville, KY",2019-10-14,2025-05-05,47000.0
700286,4471023,Call Center Team Lead,Customer Service Supervisor,Manager,"Lexington, KY",2025-06-04,2025-10-18,35000.0
700103,4471023,Plumber,Plumber,Mid,"Florence, KY",2017-12-01,2026-07-07,
700312,4471023,Fleet Coordinator,Fleet Coordinator,Mid,"Cincinnati, OH",2021-05-30,2025-01-10,
700583,9083341,Warehouse Associate,Warehouse Associate,Entry,"Tampa, FL",2024-12-13,2025-10-15,
700405,6120887,Director of Operations,Operations Director,Director,"Louisville, KY",2025-05-20,2025-09-17,111500.0
700344,4471023,Payroll Administrator,Payroll,Entry,"Columbus, OH",2026-01-03,2026-07-18,
700020,4471023,HVAC Service Technician,Service Technician,Entry,"Lexington, KY",2026-06-08,2026-08-15,
700642,9083341,Regional Sales Director,Sales Director,Director,"Orlando, FL",2012-10-01,2022-10-09,
700472,4471023,Team Member,Unknown,Mid,"Florence, KY",2012-10-01,2020-04-17,42500.0
700634,9083341,Credit Analyst,Credit Analyst,Mid,"Tampa, FL",2022-03-29,2025-11-22,
700281,4471023,Call Center Team Lead,Customer Service Supervisor,Manager,"Dayton, OH",2014-07-01,2018-11-17,
700443,4471023,Field Supervisor,Field Supervisor,Manager,"Columbus, OH",2009-02-01,2022-06-25,113000.0
700232,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2022-01-04,2025-12-27,35500.0
700436,4471023,Service Manager,Service Manager,Manager,"Lexington, KY",2024-04-12,2025-11-29,
700378,6120887,Marketing Coordinator,Marketing Coordinator,Mid,"Lexington, KY",2009-02-01,2020-05-26,
700342,4471023,Payroll Administrator,Payroll,Mid,"Louisville, KY",2019-05-09,2026-07-10,
700387,4471023,Digital Marketing Specialist,Marketing Specialist,Mid,"Cincinnati, OH",2013-12-01,2021-04-17,
700050,4471023,Service Technician,Service Technician,Entry,"Dayton, OH",2025-01-01,2026-07-06,54500.0
700621,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Orlando, FL",2022-03-08,2026-05-17,
700175,4471023,Home Solutions Consultant,Sales Representative,Mid,"Cincinnati, OH",2023-02-21,2026-04-25,51000.0
700496,6120887,Intern,Intern,Entry,"Louisville, KY",2020-12-03,2024-12-13,
700579,9083341,Warehouse Associate,Warehouse Associate,Entry,"Orlando, FL",2025-09-02,2026-03-18,
700273,4471023,Dispatcher,Dispatcher,Entry,"Mason, OH",2026-02-27,2026-08-03,
700294,4471023,Customer Experience Manager,Customer Service Manager,Manager,"Florence, KY",2021-08-03,2026-07-14,
700041,4471023,Service Technician,Service Technician,Mid,"Columbus, OH",2006-06-01,2020-01-03,61000.0
700221,4471023,Customer Service Representative,Customer Service Rep,Mid,"Louisville, KY",2006-07-01,2022-10-04,37000.0
700076,4471023,HVAC Installer,Installer,Mid,"Florence, KY",2022-08-24,2024-10-28,
700355,4471023,Recruiter,Recruiter,Mid,"Louisville, KY",2011-04-01,2021-12-16,67500.0
700123,4471023,Apprentice HVAC Technician,Apprentice Technician,Entry,"Columbus, OH",2009-03-01,2019-04-26,
700426,4471023,Operations Manager,Operations Manager,Manager,"Florence, KY",2022-07-02,2026-07-25,
700024,4471023,HVAC Service Technician,Service Technician,Mid,"Mason, OH",2015-06-26,2024-12-02,
700427,6120887,Operations Manager,Operations Manager,Manager,"Florence, KY",2022-03-31,2025-10-09,
700541,9083341,Counter Sales Associate,Counter Sales,Mid,"Orlando, FL",2012-12-01,2022-08-16,
700259,4471023,Dispatcher,Dispatcher,Mid,"Florence, KY",2011-09-01,2021-03-07,44000.0
700637,9083341,Credit Analyst,Credit Analyst,Mid,"Tampa, FL",2021-07-17,2025-09-12,
700089,4471023,Install Technician,Installer,Mid,"Columbus, OH",2020-07-05,2026-04-29,
700460,6120887,Regional Director,Regional Director,Director,"Lexington, KY",2023-08-20,2026-08-24,115000.0
700576,9083341,Warehouse Associate,Warehouse Associate,Mid,"Fort Myers, FL",2012-04-01,2018-05-07,
700397,4471023,Marketing Manager,Marketing Manager,Manager,"Dayton, OH",2025-01-22,2025-03-18,73000.0
700356,4471023,Recruiter,Recruiter,Entry,"Louisville, KY",2024-12-29,2025-06-06,
700467,4471023,Vice President of Operations,VP Operations,Executive,"Cincinnati, OH",2020-01-28,2025-07-02,
700395,4471023,Marketing Manager,Marketing Manager,Manager,"Florence, KY",2011-09-01,2018-10-19,
700449,4471023,Field Supervisor,Field Supervisor,Manager,"Cincinnati, OH",2026-02-20,2026-03-14,
700240,4471023,Customer Service Representative,Customer Service Rep,Entry,"Mason, OH",2024-12-11,2026-06-04,
700613,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Tampa, FL",2019-03-25,2026-05-18,
700140,4471023,Comfort Advisor,Sales Representative,Entry,"Lexington, KY",2024-10-25,2026-02-10,49500.0
700404,4471023,Director of Operations,Operations Director,Director,"Cincinnati, OH",2022-09-09,2025-05-07,
700640,9083341,Pricing Analyst,Pricing Analyst,Mid,"Orlando, FL",2022-07-01,2025-09-26,
700311,4471023,Parts Runner,Warehouse Associate,Mid,"Lexington, KY",2019-10-03,2026-08-21,
700429,4471023,Service Manager,Service Manager,Manager,"Cincinnati, OH",2014-08-01,2020-12-01,
700227,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2008-08-01,2019-01-06,41500.0
700358,4471023,Recruiter,Recruiter,Mid,"Cincinnati, OH",2019-12-09,2024-10-06,81500.0
700510,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Orlando, FL",2010-03-01,2021-08-22,
700538,9083341,Territory Sales Rep - Wholesale,Sales Representative,Entry,"Lakeland, FL",2025-06-18,2026-05-28,55500.0
700615,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Fort Myers, FL",2025-12-26,2026-04-19,
700624,9083341,Delivery Driver,Driver,Mid,"Lakeland, FL",2009-04-01,2020-03-01,39500.0
700316,4471023,Staff Accountant,Accountant,Mid,"Cincinnati, OH",2006-09-01,2019-12-17,
700196,4471023,Residential Sales Consultant,Sales Representative,Mid,"Florence, KY",2020-09-16,2026-04-15,54500.0
700185,4471023,Residential Sales Consultant,Sales Representative,Mid,"Columbus, OH",2020-02-08,2026-05-13,52000.0
700315,4471023,Fleet Coordinator,Fleet Coordinator,Entry,"Florence, KY",2025-01-04,2025-12-05,
700470,4471023,Owner,Owner,Executive,"Louisville, KY",2009-02-01,2020-05-27,225000.0
700376,4471023,IT Manager,IT Manager,Manager,"Lexington, KY",2023-10-31,2025-05-25,75500.0
700325,4471023,Staff Accountant,Accountant,Entry,"Cincinnati, OH",2025-01-30,2025-05-03,61500.0
700486,6120887,Associate,Unknown,Mid,"Louisville, KY",2014-09-01,2020-06-18,
700049,4471023,Service Technician,Service Technician,Mid,"Florence, KY",2021-07-18,2025-08-07,60000.0
700291,4471023,Customer Experience Manager,Customer Service Manager,Manager,"Louisville, KY",2018-04-25,2025-07-11,
700369,4471023,IT Support Specialist,IT Support,Entry,"Cincinnati, OH",2025-10-26,2026-03-09,
700611,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Fort Myers, FL",2009-05-01,2018-08-23,
700206,4471023,Sales Manager,Sales Manager,Manager,"Cincinnati, OH",2025-10-15,2025-10-16,
700057,4471023,Service Technician,Service Technician,Mid,"Cincinnati, OH",2023-09-19,2025-02-10,
700417,4471023,Branch Manager,Branch Manager,Manager,"Cincinnati, OH",2019-12-17,2025-02-14,
700220,4471023,Customer Service Representative,Customer Service Rep,Mid,"Dayton, OH",2012-04-01,2022-07-22,
700052,6120887,Service Technician,Service Technician,Mid,"Lexington, KY",2023-05-27,2025-04-30,
700593,9083341,Warehouse Associate,Warehouse Associate,Entry,"Fort Myers, FL",2024-12-30,2025-05-06,40000.0
700148,4471023,Comfort Advisor,Sales Representative,Mid,"Dayton, OH",2021-02-22,2025-04-22,50000.0
700400,6120887,Brand Manager,Marketing Manager,Manager,"Louisville, KY",2019-08-06,2026-02-07,82500.0
700459,6120887,Regional Director,Regional Director,Director,"Louisville, KY",2016-09-18,2025-06-08,
700200,4471023,Sales Manager,Sales Manager,Manager,"Florence, KY",2013-06-01,2022-05-21,51000.0
700283,6120887,Call Center Team Lead,Customer Service Supervisor,Manager,"Louisville, KY",2022-06-28,2025-08-25,36500.0
700012,4471023,HVAC Service Technician,Service Technician,Mid,"Louisville, KY",2017-11-06,2025-07-27,
700522,9083341,Territory Sales Rep - Wholesale,Sales Representative,Entry,"Orlando, FL",2025-01-31,2025-06-20,
700107,4471023,Senior Service Technician,Senior Service Technician,Senior,"Mason, OH",2024-08-24,2026-04-05,
700633,9083341,Credit Analyst,Credit Analyst,Mid,"Tampa, FL",2011-05-01,2021-07-15,
700213,4471023,Inside Sales Representative,Inside Sales,Entry,"Cincinnati, OH",2026-03-15,2026-06-02,
700118,4471023,Lead Installer,Lead Installer,Senior,"Cincinnati, OH",2024-04-22,2026-07-22,
700323,6120887,Staff Accountant,Accountant,Mid,"Louisville, KY",2023-05-29,2025-06-25,
700303,4471023,Warehouse Associate,Warehouse Associate,Mid,"Dayton, OH",2023-03-25,2024-11-02,
700296,4471023,Warehouse Associate,Warehouse Associate,Mid,"Louisville, KY",2010-11-01,2020-12-19,44000.0
700084,6120887,Install Technician,Installer,Mid,"Louisville, KY",2011-07-01,2018-07-27,
700229,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2009-11-01,2021-07-24,
700191,4471023,Residential Sales Consultant,Sales Representative,Entry,"Cincinnati, OH",2024-12-29,2026-07-17,52500.0
700592,9083341,Warehouse Associate,Warehouse Associate,Entry,"Tampa, FL",2024-06-20,2026-03-27,
700251,4471023,Customer Service Representative,Customer Service Rep,Entry,"Cincinnati, OH",2024-08-22,2025-01-09,
700450,4471023,Field Supervisor,Field Supervisor,Manager,"Cincinnati, OH",2025-02-04,2025-11-26,
700575,9083341,Warehouse Associate,Warehouse Associate,Mid,"Fort Myers, FL",2009-01-01,2018-02-15,
700501,4471023,Consultant,Consultant,Mid,"Columbus, OH",2013-06-22,2025-06-26,43000.0
700122,4471023,Apprentice HVAC Technician,Apprentice Technician,Entry,"Cincinnati, OH",2013-10-01,2022-11-11,
700631,9083341,Delivery Driver,Driver,Mid,"Lakeland, FL",2019-01-01,2025-03-26,
700042,4471023,Service Technician,Service Technician,Mid,"Cincinnati, OH",2008-03-01,2018-08-07,
700361,4471023,HR Manager,HR Manager,Manager,"Cincinnati, OH",2025-09-30,2026-08-16,
700248,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2017-01-17,2025-09-15,
700580,9083341,Warehouse Associate,Warehouse Associate,Mid,"Fort Myers, FL",2024-02-12,2025-04-22,38000.0
700125,4471023,Apprentice HVAC Technician,Apprentice Technician,Entry,"Cincinnati, OH",2024-03-15,2024-10-30,
700267,4471023,Dispatcher,Dispatcher,Mid,"Lexington, KY",2012-09-01,2025-05-28,
700396,4471023,Marketing Manager,Marketing Manager,Manager,"Mason, OH",2023-11-01,2025-03-19,
700180,6120887,Home Solutions Consultant,Sales Representative,Mid,"Louisville, KY",2019-08-22,2025-12-10,
700428,4471023,Operations Manager,Operations Manager,Manager,"Mason, OH",2026-02-21,2026-04-24,
700226,6120887,Customer Service Representative,Customer Service Rep,Mid,"Florence, KY",2012-09-01,2019-07-12,
700028,4471023,HVAC Service Technician,Service Technician,Mid,"Mason, OH",2023-04-03,2025-08-13,
700163,4471023,Home Solutions Consultant,Sales Representative,Mid,"Mason, OH",2006-09-01,2020-02-11,
700567,9083341,Counter Sales Associate,Counter Sales,Mid,"Fort Myers, FL",2021-06-07,2025-12-08,
700037,6120887,HVAC Service Technician,Service Technician,Mid,"Louisville, KY",2023-07-23,2025-04-02,
700484,4471023,Associate,Unknown,Mid,"Dayton, OH",2009-01-01,2020-05-21,
700161,4471023,Home Solutions Consultant,Sales Representative,Mid,"Cincinnati, OH",2012-04-01,2021-08-21,
700476,4471023,Team Member,Unknown,Mid,"Cincinnati, OH",2015-08-20,2024-12-17,35000.0
700219,4471023,Customer Service Representative,Customer Service Rep,Mid,"Cincinnati, OH",2013-08-01,2022-03-17,35000.0
700372,4471023,Systems Administrator,Systems Administrator,Entry,"Florence, KY",2025-09-03,2026-02-25,94000.0
700001,4471023,HVAC Service Technician,Service Technician,Mid,"Columbus, OH",2006-10-01,2020-04-10,
700236,6120887,Customer Service Representative,Customer Service Rep,Entry,"Louisville, KY",2026-04-29,2026-07-09,
700106,4471023,Senior Service Technician,Senior Service Technician,Senior,"Cincinnati, OH",2008-01-01,2021-05-14,52500.0
700507,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Orlando, FL",2010-06-01,2021-02-15,50000.0
700492,4471023,Intern,Intern,Entry,"Cincinnati, OH",2008-03-01,2021-11-25,
700371,6120887,Systems Administrator,Systems Administrator,Entry,"Florence, KY",2024-12-20,2025-05-27,70000.0
700310,6120887,Parts Runner,Warehouse Associate,Mid,"Louisville, KY",2022-09-30,2025-12-15,
700015,4471023,HVAC Service Technician,Service Technician,Mid,"Cincinnati, OH",2020-02-03,2025-09-18,
700289,4471023,Customer Experience Manager,Customer Service Manager,Manager,"Lexington, KY",2006-08-01,2018-11-21,
700530,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Lakeland, FL",2023-05-10,2024-10-07,45000.0
700059,4471023,HVAC Installer,Installer,Mid,"Lexington, KY",2006-02-01,2019-08-12,
700495,6120887,Intern,Intern,Entry,"Louisville, KY",2016-06-16,2025-08-13,
700454,4471023,General Manager,General Manager,Manager,"Florence, KY",2021-11-05,2024-12-09,115000.0
700320,4471023,Staff Accountant,Accountant,Entry,"Louisville, KY",2026-02-19,2026-05-06,64500.0
700549,9083341,Counter Sales Associate,Counter Sales,Mid,"Tampa, FL",2022-12-21,2026-07-03,
700433,6120887,Service Manager,Service Manager,Manager,"Florence, KY",2025-03-08,2026-04-16,
700171,4471023,Home Solutions Consultant,Sales Representative,Mid,"Florence, KY",2023-12-05,2026-04-02,
700309,4471023,Parts Runner,Warehouse Associate,Mid,"Lexington, KY",2023-11-15,2026-08-04,41500.0
700423,6120887,Operations Manager,Operations Manager,Manager,"Florence, KY",2023-03-13,2025-11-07,
700138,4471023,Comfort Advisor,Sales Representative,Mid,"Dayton, OH",2022-11-13,2026-03-05,48500.0
700082,4471023,HVAC Installer,Installer,Entry,"Louisville, KY",2026-06-17,2026-08-27,
700337,4471023,Controller,Controller,Manager,"Cincinnati, OH",2007-03-01,2019-05-26,
700128,4471023,Comfort Advisor,Sales Representative,Mid,"Cincinnati, OH",2014-09-01,2020-03-26,
700526,9083341,Territory Sales Rep - Wholesale,Sales Representative,Entry,"Orlando, FL",2025-10-16,2025-10-24,48500.0
700166,4471023,Home Solutions Consultant,Sales Representative,Mid,"Louisville, KY",2016-06-06,2025-05-04,
700587,9083341,Warehouse Associate,Warehouse Associate,Entry,"Lakeland, FL",2025-05-17,2025-08-21,
700403,6120887,Director of Operations,Operations Director,Director,"Louisville, KY",2025-06-02,2026-08-23,97000.0
700284,4471023,Call Center Team Lead,Customer Service Supervisor,Manager,"Florence, KY",2021-05-19,2025-06-12,
700489,4471023,Associate,Unknown,Entry,"Mason, OH",2025-10-08,2026-02-28,46500.0
700324,4471023,Staff Accountant,Accountant,Entry,"Cincinnati, OH",2024-08-12,2025-12-30,
700069,4471023,HVAC Installer,Installer,Mid,"Cincinnati, OH",2023-09-07,2026-06-24,
700193,4471023,Residential Sales Consultant,Sales Representative,Mid,"Florence, KY",2019-01-17,2026-04-19,
700557,9083341,Counter Sales Associate,Counter Sales,Entry,"Fort Myers, FL",2026-01-20,2026-01-21,
700135,6120887,Comfort Advisor,Sales Representative,Entry,"Louisville, KY",2024-10-29,2025-07-19,
700098,4471023,Plumber,Plumber,Mid,"Louisville, KY",2024-02-24,2026-05-17,
700434,4471023,Service Manager,Service Manager,Manager,"Cincinnati, OH",2022-02-01,2024-12-07,
700295,4471023,Customer Experience Manager,Customer Service Manager,Manager,"Louisville, KY",2024-03-01,2024-10-11,
700619,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Fort Myers, FL",2017-12-13,2024-10-03,
700440,6120887,Install Manager,Install Manager,Manager,"Louisville, KY",2024-06-02,2026-01-29,88500.0
700208,6120887,Sales Manager,Sales Manager,Manager,"Louisville, KY",2025-08-27,2025-12-22,
700491,4471023,Intern,Intern,Entry,"Louisville, KY",2012-10-01,2018-11-13,
700478,4471023,Team Member,Unknown,Mid,"Dayton, OH",2018-07-21,2025-09-22,
700073,4471023,HVAC Installer,Installer,Entry,"Cincinnati, OH",2025-01-16,2026-08-20,
700013,4471023,HVAC Service Technician,Service Technician,Mid,"Cincinnati, OH",2013-04-12,2025-12-31,
700430,4471023,Service Manager,Service Manager,Manager,"Cincinnati, OH",2021-04-11,2025-09-06,
700509,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Orlando, FL",2013-12-01,2019-01-05,54000.0
700314,4471023,Fleet Coordinator,Fleet Coordinator,Entry,"Columbus, OH",2024-03-19,2025-03-09,
700563,9083341,Counter Sales Associate,Counter Sales,Entry,"Orlando, FL",2024-09-16,2025-02-13,
700092,6120887,Install Technician,Installer,Mid,"Louisville, KY",2023-02-08,2026-08-21,
700147,4471023,Comfort Advisor,Sales Representative,Entry,"Mason, OH",2024-04-24,2026-06-09,
700626,9083341,Delivery Driver,Driver,Mid,"Orlando, FL",2022-10-23,2026-04-07,
700554,9083341,Counter Sales Associate,Counter Sales,Mid,"Tampa, FL",2023-01-30,2025-07-05,57000.0
700328,6120887,Accounts Payable Specialist,Accounts Payable,Mid,"Florence, KY",2011-01-01,2018-09-24,
700249,4471023,Customer Service Representative,Customer Service Rep,Entry,"Cincinnati, OH",2026-04-19,2026-05-11,
700602,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Tampa, FL",2020-05-06,2024-11-21,
700616,9083341,Branch Manager - Distribution,Branch Manager,Manager,"Tampa, FL",2024-08-11,2025-11-27,
